index,Drug_Name,Reason,Description,Description_Length
5350,s numlo 1.25mg tablet 10'ss numlo 2.5mg tablet 10'ss numlo 5mg tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5351,safetelmi 40mg tablet 10'ssafetelmi 80mg tablet 10'ssafetelmi 20mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5352,safetelmi am tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5353,safetelmi ct 80/12.5 tablet 10'ssafetelmi ct 40/12.5mg tablet 10's,Hypertension,used to treatâ blood pressure (hypertension),6
5354,safetelmi h tablet 10's,Hypertension,â chest pain due to narrowing of the blood vessels of the heart muscle (angina pectoris) or the rarer form of chest pain caused by cramping of the blood vessels of the heart muscle called prinzmetal or variant angina,39
5355,sam at 2.5mg tablet 10's,Hypertension,used to treat people with certain types of pulmonary arterial hypertension (pah),12
5356,samlodon 2.5mg tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,21
5357,samlodon at 50/2.5mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5358,samlokind 2.5mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5359,samlokind at tablet 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5360,samstar 5mg tablet 10'ssamstar 2.5mg tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5361,samstar at 50/2.5mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5362,sarpot am 5mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5363,sarpot h 50/12.5mg tablet 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5364,sartace 2.5/50mg tablet 10'ssartace 5/50mg tablet 10'ssartace 1.25/50mg tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5365,sartel 40mg tablet 15'ssartel 80mg tablet 10'ssartel 80mg tablet 15'ssartel 20mg tablet 10'ssartel 20mg tablet 15'ssartel h 80mg tablet 10'ssartel h 40mg tablet 10'ssartel 40mg tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,21
5366,sartel am mg 5+80 tablet 15'ssartel am 5mg/40mg tablet 10'ssartel am 80mg tablet 10'ssartel am 40mg tablet 15's,Hypertension,lower high blood pressure (hypertension),5
5367,sartel beta 25/40mg tablet 15'ssartel beta 50/40mg tablet 15's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5368,sartel c 80mg tablet 10'ssartel c 40mg tablet 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5369,sartel h 40mg tablet 15'ssartel h 40/12.5mg tablet 10'ssartel h 80mg tablet 15's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5370,sartel ln 80/10mg tablet 10'ssartel ln tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5371,sartel trio 6.25mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5372,seaol 40mg tablet 10'sseaol 20mg tablet 10's,Hypertension,used to treatâ blood pressure (hypertension),6
5373,seaol ch 20mg tablet 10'sseaol ch 40mg tablet 10's,Hypertension,â chest pain due to narrowing of the blood vessels of the heart muscle (angina pectoris) or the rarer form of chest pain caused by cramping of the blood vessels of the heart muscle called prinzmetal or variant angina,39
5374,sel xl 25mg tablet 15'ssel xl 50mg tablet 15's,Hypertension,used to treat people with certain types of pulmonary arterial hypertension (pah),12
5375,sel xl am 50mg tablet 15'ssel xl am 25mg tablet 15's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,21
5376,seloken xl 50mg tablet 30'sseloken xl 100mg tablet 15'sseloken xl 25mg tablet 30's,Hypertension,lower high blood pressure (hypertension),5
5377,selomax 25/2.5mg tablet 10'sselomax 25/5mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5378,seloram 25/2.5mg tablet 7'sseloram 50/5mg tablet 7's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5379,servace 2.5mg capsule 10'sservace 5mg capsule 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5380,servace am capsule 10's,Hypertension,lower high blood pressure (hypertension),5
5381,signolol 40mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5382,signolol sr 40mg tablet 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5383,simlofor 20mg tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5384,sinopil 2mg tablet 10'ssinopil 4mg tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,21
5385,sitelodip 2.5mg tablet 10'ssitelodip 5mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5386,sitelol am 50/5mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5387,sitelol xr 50mg tablet 10'ssitelol xr 25mg tablet 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5388,slew 40mg tablet 10'sslew 20mg tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5389,sms xl 12.5mg tablet 10'ssms xl 50mg tablet 10'ssms xl 25mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5390,solet 40mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5391,sorbitrate 6.4mg tablet 25'ssorbitrate 2.6mg tablet 25'ssorbitrate 20mg tablet 10's,Hypertension,used to treatâ blood pressure (hypertension),6
5392,sotalar 40mg tablet 10'ssotalar 80mg tablet 10'ssotalar 10mg injection 4ml,Hypertension,â chest pain due to narrowing of the blood vessels of the heart muscle (angina pectoris) or the rarer form of chest pain caused by cramping of the blood vessels of the heart muscle called prinzmetal or variant angina,39
5393,spilactone t 100/10mg tablet 10,Hypertension,used to treat people with certain types of pulmonary arterial hypertension (pah),12
5394,stalia 40mg tablet 10'sstalia 80mg tablet 10'sstalia 20mg tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,21
5395,stalia h 40/12.5mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5396,stamace 5mg capsule 10'sstamace 2.5mg capsule 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5397,stamcor tablet 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5398,stamlo 5mg tablet 30'sstamlo 10mg tablet 30's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5399,stamlo beta tablet 15's,Hypertension,lower high blood pressure (hypertension),5
5400,stamlo beta m tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5401,stamlo d tablet 15's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5402,stamlo m 10mg tablet 28's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5403,stamlo t 80mg tablet 10'sstamlo t tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,21
5404,stanol 50mg tablet 14's,Hypertension,lower high blood pressure (hypertension),5
5405,starcad ct 25mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5406,starcad a 25/5mg tablet 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5407,starcad beta 12.5mg tablet 10'sstarcad beta 25mg tablet 10'sstarcad beta 50mg tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5408,starcad ct 50mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5409,starcad sa 5mg tablet 10'sstarcad sa 2.5mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5410,starcad t 25mg tablet 10'sstarcad t 50mg tablet 10's,Hypertension,used to treatâ blood pressure (hypertension),6
5411,starpress xl 50mg tablet 10'sstarpress d xl 25mg tablet 10'sstarpress d xl 50mg tablet 10's,Hypertension,â chest pain due to narrowing of the blood vessels of the heart muscle (angina pectoris) or the rarer form of chest pain caused by cramping of the blood vessels of the heart muscle called prinzmetal or variant angina,39
5412,starpress am xl 50mg tablet 10'sstarpress am xl 25mg tablet 10's,Hypertension,used to treat people with certain types of pulmonary arterial hypertension (pah),12
5413,starpress h xl 25mg tablet 10'sstarpress h xl 50mg tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,21
5414,starpress r xl 50mg tablet 10'sstarpress r xl 25mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5415,starpress t xl 50mg tablet 10'sstarpress t xl 25mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5416,starpress xl 50mg tablet 15'sstarpress xl 100mg tablet 10'sstarpress xl 12.5mg tablet 10'sstarpress xl 25mg tablet 15's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5417,starval 80mg capsule 10'sstarval 160mg capsule 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5418,statel 40mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5419,stressban a 5/5mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5420,supermet xl 50mg tablet 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5421,supermet am tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5422,supermet h tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,21
5423,supermet xl 25mg tablet 10'ssupermet xl 25mg tablet 15'ssupermet xl 50mg tablet 15'ssupermet xl 100mg tablet 10'ssupermet xl 12.5mg tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5424,sustamet 50mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5425,sustameto 25mg tablet 10'ssustameto 50mg tablet 10'ssustameto ch 50mg tablet 10'ssustameto 100mg tablet 10's,Hypertension,â treat high blood pressure (hypertension) and a type of chest pain called angina,14
5426,sustameto am tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,10
5427,sustameto r tablet 10's,Hypertension,lower high blood pressure (hypertension),5
5428,t gad 20mg tablet 10'st gad 40mg tablet 10's,Hypertension,lowerâ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (lvh),19
5429,t mart 40 h tablet 10'st mart 20mg tablet 10'st mart 40mg tablet 10's,Hypertension,used to treatâ blood pressure (hypertension),6
5430,t mart am 5mg/40mg tablet 10's,Hypertension,â chest pain due to narrowing of the blood vessels of the heart muscle (angina pectoris) or the rarer form of chest pain caused by cramping of the blood vessels of the heart muscle called prinzmetal or variant angina,39
5431,t mart r tablet 10's,Hypertension,used to treat people with certain types of pulmonary arterial hypertension (pah),12
5432,tactile 40mg tablet 10'stactile 20mg tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,21
